WELL NAME,DEPTH (M),BVW (V/V),CARB_FLAG (UNITLESS),COAL_FLAG (UNITLESS),KLOGH (MD),PHIF (V/V),RHOFL (G/CM3),RHOMA (G/CM3),RW (OHMM),SAND_FLAG (UNITLESS),SW (V/V),TEMP (DEGC),VSH (V/V),LITHOTYPE
15/9-19 A,3683.9652,0.100774,0.0,0.0,0.0,0.24038,0.8,2.66,0.0215762,0.0,0.4192,113.139,0.684878,OTHER
15/9-19 A,3684.1176,0.10166599999999999,0.0,0.0,0.0,0.255853,0.8,2.66,0.021575599999999997,0.0,0.3974,113.1426,0.685633,CLST.SLTY-X-X
15/9-19 A,3684.27,0.10061,0.0,0.0,0.0,0.25751999999999997,0.8,2.66,0.021575099999999996,0.0,0.3907,113.1462,0.686388,OTHER
15/9-19 A,3684.4224,0.09799,0.0,0.0,0.0,0.244139,0.8,2.66,0.0215745,0.0,0.4014,113.1499,0.6871430000000001,OTHER
15/9-19 A,3684.5748,0.09618,0.0,0.0,0.0,0.238731,0.8,2.66,0.0215739,0.0,0.4029,113.1535,0.687898,OTHER
15/9-19 A,3684.7272,0.094422,0.0,0.0,0.0,0.23870999999999998,0.8,2.66,0.0215733,0.0,0.3956,113.1571,0.688653,OTHER
15/9-19 A,3684.8796,0.095737,0.0,0.0,0.0,0.276196,0.8,2.66,0.0215727,0.0,0.3466,113.1607,0.689409,OTHER
15/9-19 A,3685.032,0.094144,0.0,0.0,0.0,0.284377,0.8,2.66,0.0215722,0.0,0.3311,113.1644,0.690164,OTHER
15/9-19 A,3685.1844,0.096716,0.0,0.0,0.0,0.32243,0.8,2.66,0.021571599999999996,0.0,0.3,113.16799999999999,0.690919,OTHER
15/9-19 A,3685.3368,0.094324,0.0,0.0,0.0,0.27331300000000003,0.8,2.66,0.021571,0.0,0.3451,113.1716,0.691674,OTHER
15/9-19 A,3685.4892,0.098086,0.0,0.0,0.0,0.28168699999999997,0.8,2.66,0.0215704,0.0,0.3482,113.1752,0.692429,OTHER
15/9-19 A,3685.6416,0.098622,0.0,0.0,0.0,0.26458400000000004,0.8,2.66,0.021569799999999997,0.0,0.3727,113.1789,0.693184,OTHER
15/9-19 A,3685.7940000000003,0.100524,0.0,0.0,0.0,0.27469099999999996,0.8,2.66,0.0215692,0.0,0.366,113.1825,0.6939390000000001,OTHER
15/9-19 A,3685.9464,0.100593,0.0,0.0,0.0,0.267769,0.8,2.66,0.0215687,0.0,0.3757,113.1861,0.6946939999999999,OTHER
15/9-19 A,3686.0988,0.09691799999999999,0.0,0.0,0.0,0.217939,0.8,2.66,0.0215681,0.0,0.4447,113.1897,0.695449,CLST.SLTY-X-X
15/9-19 A,3686.2512,0.100623,0.0,0.0,0.0,0.229055,0.8,2.66,0.0215675,0.0,0.4393,113.1934,0.696204,OTHER
15/9-19 A,3686.4036,0.103594,0.0,0.0,0.0,0.23760100000000003,0.8,2.66,0.0215669,0.0,0.436,113.197,0.696959,OTHER
15/9-19 A,3686.5559999999996,0.104354,0.0,0.0,0.0,0.231744,0.8,2.66,0.021566299999999997,0.0,0.4503,113.2006,0.6977140000000001,OTHER
15/9-19 A,3686.7084,0.102869,0.0,0.0,0.0,0.20976399999999998,0.8,2.66,0.0215658,0.0,0.4904,113.2042,0.698469,OTHER
15/9-19 A,3686.8608,0.104154,0.0,0.0,0.0,0.21181999999999998,0.8,2.66,0.021565200000000003,0.0,0.4917,113.2079,0.699224,OTHER
15/9-19 A,3687.0132,0.101001,0.0,0.0,0.0,0.186659,0.8,2.66,0.0215646,0.0,0.5411,113.2115,0.699979,OTHER
15/9-19 A,3687.1656,0.10458599999999998,0.0,0.0,0.0,0.21708400000000003,0.8,2.66,0.021564,0.0,0.4818,113.2151,0.700735,OTHER
15/9-19 A,3687.3179999999998,0.105842,0.0,0.0,0.0,0.237554,0.8,2.66,0.0215634,0.0,0.4455,113.2187,0.70149,OTHER
15/9-19 A,3687.4704,0.10354000000000001,0.0,0.0,0.0,0.229066,0.8,2.66,0.021562900000000003,0.0,0.452,113.2224,0.702245,OTHER
15/9-19 A,3687.6228,0.102392,0.0,0.0,0.0,0.225819,0.8,2.66,0.0215623,0.0,0.4534,113.226,0.703,OTHER
15/9-19 A,3687.7752,0.10055599999999999,0.0,0.0,0.0,0.212954,0.8,2.66,0.021561700000000003,0.0,0.4722,113.2296,0.703755,OTHER
15/9-19 A,3687.9276,0.100896,0.0,0.0,0.0,0.215045,0.8,2.66,0.0215611,0.0,0.4692,113.2332,0.7045100000000001,OTHER
15/9-19 A,3688.08,0.100856,0.0,0.0,0.0,0.213983,0.8,2.66,0.0215605,0.0,0.4713,113.2368,0.7052649999999999,CLST.SLTY-X-X
