BVW (V/V),CARB_FLAG (UNITLESS),COAL_FLAG (UNITLESS),KLOGH (MD),PHIF (V/V),RHOFL (G/CM3),RHOMA (G/CM3),RW (OHMM),SAND_FLAG (UNITLESS),SW (V/V),TEMP (DEGC),VSH (V/V),LITHOTYPE
0.043406,0,0,284.1543,0.17352,0.8,2.66,0.0210098,1,0.2488,116.7686,0.103845,F-TIDAL CHANNEL
0.044472,0,0,279.1561,0.188306,0.8,2.66,0.0210093,1,0.2354,116.7721,0.117845,F-TIDAL CHANNEL
0.043762,0,0,371.9781,0.196102,0.8,2.66,0.0210088,1,0.2202,116.7757,0.110922,F-TIDAL CHANNEL
0.041048,0,0,298.3235,0.189607,0.8,2.66,0.0210082,1,0.2135,116.7793,0.115796,F-TIDAL CHANNEL
0.037628,0,0,649.4176,0.176864,0.8,2.66,0.0210077,1,0.2111,116.7829,0.066932,F-TIDAL CHANNEL
0.036099,0,0,628.0948,0.181496,0.8,2.66,0.0210071,1,0.1991,116.7864,0.07266,F-TIDAL CHANNEL
0.034965,0,0,825.3406,0.166373,0.8,2.66,0.0210066,1,0.2173,116.79,0.046039,F-TIDAL CHANNEL
0.035617,0,0,384.5733,0.171456,0.8,2.66,0.021006,1,0.2203,116.7936,0.087408,F-TIDAL CHANNEL
0.035431,0,0,419.4082,0.163614,0.8,2.66,0.0210055,1,0.2276,116.7971,0.076252,F-TIDAL CHANNEL
0.035069,0,0,494.0696,0.15892,0.8,2.66,0.021005,1,0.2217,116.8007,0.064175,F-TIDAL CHANNEL
0.035117,0,0,520.2087,0.169146,0.8,2.66,0.0210044,1,0.2064,116.8043,0.070777,F-TIDAL CHANNEL
0.036713,0,0,1410.7262,0.218826,0.8,2.66,0.0210039,1,0.1667,116.8078,0.066796,F-TIDAL CHANNEL
0.036547,0,0,1641.1775,0.228547,0.8,2.66,0.0210033,1,0.1608,116.8114,0.068136,F-TIDAL CHANNEL
0.036388,0,0,1529.7587,0.204208,0.8,2.66,0.0210028,1,0.1794,116.815,0.049893,F-TIDAL CHANNEL
0.038358,0,0,910.2477,0.185888,0.8,2.66,0.0210022,1,0.2065,116.8185,0.05866,F-TIDAL CHANNEL
0.042558,0,0,808.6718,0.194297,0.8,2.66,0.0210017,1,0.2198,116.8221,0.071845,F-MOUTHBAR
0.045393,0,0,210.4231,0.188231,0.8,2.66,0.0210012,1,0.2416,116.8257,0.131417,F-MOUTHBAR
0.048711,0,0,222.9481,0.202631,0.8,2.66,0.0210006,1,0.24,116.8293,0.141427,F-MOUTHBAR
0.051839,0,0,331.5728,0.2255,0.8,2.66,0.0210001,1,0.2304,116.8328,0.142602,F-MOUTHBAR
0.053319,0,0,236.9439,0.232215,0.8,2.66,0.0209995,1,0.2331,116.8364,0.164786,F-MOUTHBAR
0.050477,0,0,181.2574,0.176014,0.8,2.66,0.020999,1,0.288,116.84,0.127757,F-MOUTHBAR
0.050447,0,0,78.1858,0.154921,0.8,2.66,0.0209985,1,0.3281,116.8435,0.149583,F-MOUTHBAR
0.053823,0,0,126.5167,0.167156,0.8,2.66,0.0209979,1,0.3275,116.8471,0.137233,F-MOUTHBAR
0.05686,0,0,100.3204,0.174702,0.8,2.66,0.0209974,1,0.3313,116.8507,0.155136,F-MOUTHBAR
0.056115,1,0,0.1,0.145753,0.8,2.63,0.0209968,0,0.394,116.8543,0.149286,F-MOUTHBAR
0.050772,1,0,0.1,0.092561,0.8,2.63,0.0209963,0,0.5733,116.8578,0.183748,F-MOUTHBAR
0.058047,1,0,0.1,0.152222,0.8,2.63,0.0209957,0,0.4006,116.8614,0.146388,F-MOUTHBAR
0.060396,1,0,0.1,0.194914,0.8,2.63,0.0209952,0,0.3202,116.865,0.191447,F-MOUTHBAR
0.05879,0,0,53.918,0.208145,0.8,2.63,0.0209947,1,0.2852,116.8685,0.214825,F-MOUTHBAR
0.056734,0,0,124.5478,0.216361,0.8,2.63,0.0209941,1,0.2634,116.8721,0.181728,F-MOUTHBAR
