UWI,START_DATE,OIL,GAS,WATER
YP412,01-JUL-98,33817,19625,107
ON231,01-JAN-95,40722,43692,0
RK113,01-MAR-08,28009,17991,3889
RK113,01-MAR-11,14517,5014,977
TR382,01-OCT-04,45632,25569,361
AB560,01-APR-11,26571,26901,0
BR430,01-OCT-13,44944,43298,39
DS378,01-DEC-90,68487,48133,2749
DS773,01-MAY-07,50252,38543,2005
CC872,01-JUN-92,120882,71477,230
BR832,01-OCT-98,34550,21665,0
YP821,01-SEP-98,7364,6357,71
AB735,01-MAR-92,115143,69248,1193
BR832,01-JUN-07,50578,48643,51
ON765,01-OCT-86,9141,8234,0
ON575,01-MAR-97,131550,89506,0
TR843,01-JUL-97,30006,17595,2418
BR836,01-SEP-00,38798,23405,0
TR843,01-DEC-01,44112,43390,140
YP552,01-JUN-08,28176,11074,259
TR235,01-JAN-91,127679,96188,0
ON506,01-NOV-01,1627,1753,17
TR843,01-MAY-88,33096,26522,0
CC154,01-SEP-03,29555,19793,112
AB559,01-JUL-13,37364,35555,11206
ON602,01-MAR-14,35482,49904,0
YP229,01-MAR-12,37859,21383,41
AB661,01-OCT-02,36122,22664,0
YP220,01-APR-02,70920,45797,57
BR254,01-MAY-02,21371,11529,0
BR264,01-NOV-90,49486,28026,0
ON804,01-JUN-01,67481,54392,1075
TF149,01-OCT-99,13289,8899,0
BR254,01-JUL-13,40260,38194,0
BR264,01-NOV-93,13517,6906,0
BR264,01-SEP-95,55619,44326,0
BR832,01-AUG-89,105645,61100,0
CC495,01-FEB-91,60342,42711,0
DS773,01-FEB-07,31201,30356,1984
DS773,01-MAY-08,44743,68891,72
CC883,01-FEB-97,3736,2513,6
AB735,01-AUG-89,97653,61438,326
TF585,01-JAN-10,36142,22441,345
ON804,01-OCT-94,63121,38325,0
ON575,01-AUG-97,90829,83593,0
DS378,01-MAR-04,60322,52339,2573
ON506,01-SEP-85,54889,34639,0
YP552,01-MAY-03,31526,12884,76
ON506,01-JUL-00,104117,96017,567
ON506,01-APR-02,25860,17168,42
DS720,01-MAY-01,21523,14317,828
ON506,01-OCT-06,45079,44588,5808
CC154,01-NOV-03,12971,9535,1211
AB513,01-NOV-10,30464,16178,10243
ON829,01-MAR-06,23151,10271,0
DS234,01-NOV-91,28958,18464,3560
YP676,01-NOV-10,15751,57804,74816
AB388,01-MAY-05,32676,38525,87
YP714,01-NOV-91,16996,15004,0
RK514,01-JUN-91,16612,8979,0
DS416,01-JAN-89,9037,5768,0
RK659,01-FEB-90,4180,2344,365
BR312,01-SEP-10,21950,13615,107509
TR758,01-JUN-02,35052,26159,43
AB824,01-JUN-04,17265,11408,10
TR762,01-DEC-05,26731,3896,680
DS234,01-OCT-87,63842,47613,0
TR516,01-NOV-90,7922,5634,0
RK450,01-DEC-14,26606,22101,17581
YP174,01-MAR-08,663,474,33
AB742,01-NOV-86,32188,19948,0
ON727,01-JUN-85,42160,28208,923
TF573,01-MAY-85,15081,8770,0
AB742,01-JUL-92,68873,33376,0
ON397,01-OCT-81,413,0,0
DS582,01-OCT-91,2865,1262,267
TR791,01-NOV-86,116316,62878,8847
TR791,01-NOV-88,15033,6897,490
TR791,01-DEC-91,44110,30845,0
DS698,01-OCT-81,311253,264330,0
BR710,01-AUG-76,385488,407100,0
BR710,01-NOV-76,532023,331290,0
TF267,01-APR-77,367393,242360,0
TR387,01-APR-88,44260,31906,0
TF267,01-MAR-84,448823,342722,0
CC849,01-OCT-88,73890,45830,0
TF359,01-AUG-85,132881,101791,0
RK114,01-MAY-82,60369,44400,0
CC636,01-SEP-93,55715,44107,1047
RK114,01-FEB-87,55973,32123,0
CC636,01-DEC-74,273399,187110,0
TF695,01-JUL-80,509450,330960,0
DS241,01-OCT-80,502648,361900,0
YP552,01-MAY-88,4536,2307,0
ON469,01-AUG-10,39929,18579,1758
TR855,01-APR-07,26413,19448,100
BR223,01-NOV-14,45309,17907,0
AB625,01-MAR-14,27347,14789,0
TF846,01-DEC-10,65238,36838,587
DS378,01-NOV-14,49100,44546,0
ON519,01-MAY-14,42536,30826,0
BR297,01-FEB-09,8120,4454,28
CC649,01-MAR-11,33850,28897,52
CC649,01-JUN-07,16859,14410,2420
TR129,01-OCT-13,39066,19343,0
AB879,01-JAN-12,26693,16945,171
TF846,01-NOV-17,25282,24782,11809
TR455,01-JAN-15,25173,13185,14760
YP534,01-JAN-15,0,0,0
YP166,01-FEB-15,0,0,0
TF277,01-DEC-15,31595,25783,2093
DS263,01-MAY-15,0,0,0
YP468,01-JUN-15,41948,20083,4721
BR832,01-FEB-15,28788,11069,0
AB879,01-AUG-15,35330,32513,0
TF335,01-JAN-91,113276,64181,1110
ON397,01-OCT-97,44377,43443,1274
DS698,01-MAR-96,17050,8997,380
BR710,01-MAY-86,107599,55966,4061
YP821,01-MAY-02,61276,47043,15787
ON417,01-FEB-05,26798,19148,101
CC649,01-JAN-14,54132,27289,7858
YP821,01-MAR-96,43459,45475,3746
BR710,01-APR-97,29978,30532,245
YP570,01-JUN-82,24880,12360,316
DS652,01-JAN-90,43879,19780,0
BR832,01-JAN-02,76085,59596,0
YP471,01-DEC-88,94741,72459,185
ON506,01-MAR-08,56958,60756,2128
TR584,01-DEC-17,49017,31822,8
TF261,01-NOV-17,49429,40701,0
CC398,01-DEC-88,8772,4800,0
ON369,01-NOV-90,114652,64910,0
ON442,01-SEP-06,29254,30731,68
CC883,01-MAY-87,20910,10940,0
CC872,01-JUL-88,9561,6867,0
CC310,01-SEP-13,37284,36178,2773
CC627,01-MAY-04,48420,37594,1467
RK659,01-MAR-87,36488,25556,0
BR772,01-AUG-88,96455,68726,0
BR312,01-OCT-13,7857,7452,60755
DS780,01-FEB-08,49105,37734,2329
DS652,01-OCT-03,34591,16478,14
CC646,01-FEB-07,19661,10908,3589
DS441,01-MAR-04,46426,26365,0
DS441,01-OCT-05,32061,14861,75
RK450,01-APR-12,63809,51868,23030
DS161,01-JAN-11,39777,26756,17229
RK450,01-DEC-07,41297,16561,862
AB494,01-MAY-75,545626,554830,0
RK153,01-FEB-77,69101,55370,0
ON316,01-APR-83,97937,62071,0
CC482,01-MAY-76,254167,250700,0
ON316,01-DEC-86,24939,18471,0
YP467,01-JUL-86,19342,13004,0
DS698,01-FEB-79,302335,182600,0
TR387,01-JUN-89,81847,55655,119
ON893,01-DEC-89,74536,38120,0
YP577,01-MAR-88,34328,13303,0
TR758,01-OCT-85,75338,40965,0
TR758,01-MAY-88,19424,12683,0
BR710,01-NOV-95,26558,11535,4821
CC636,01-FEB-87,2565,1797,0
BR380,01-AUG-90,4777,3473,521
TR701,01-JAN-85,31606,22935,0
BR819,01-JUN-79,293586,240840,0
TF740,01-NOV-74,376291,200030,0
AB742,01-DEC-87,83234,43970,33
TF740,01-JUL-82,198864,150450,0
TF566,01-OCT-12,50478,18205,0
TR855,01-NOV-12,24310,12021,13524
